3;2;0               
3;4;0               
3;20;-210           
3;48;0              
3;50;-18            
3;51;0              
3;52;0              
3;54;0              
3;55;0              
3;56;0              
3;65;174            
3;66;-10            
3;67;-1090          
3;69;35             
3;71;27             
3;72;0              
3;73;782            
3;74;24             
3;75;73             
3;76;12             
3;77;0              
3;78;0              
3;79;44             
3;80;38             
3;81;25             
3;82;4              
3;83;0              
3;84;67             
3;85;80             
3;86;43             
3;87;0              
3;89;15             
3;90;-2             
3;91;8              
3;92;79             
3;93;33             
3;94;133            
3;95;3              
3;96;276            
3;97;22             
3;98;18             
3;99;28             
3;100;21            
3;101;28            
3;102;15            
3;104;-35           
3;106;270           
3;109;0             
3;113;-4            
3;114;1             
3;115;1             
3;116;35            
3;117;0             
3;118;0             
3;119;0             
3;120;0             
3;121;0             
3;122;0             
3;123;34            
3;124;38            
3;125;0             
3;126;0             
3;127;11            
3;128;35            
3;131;0             
3;132;4             
3;133;10            
3;134;14            
3;135;12            
3;136;11            
3;137;12            
3;138;-420          
3;139;8             
3;140;1             
3;141;0             
3;142;12            
3;143;8             
3;144;-1            
3;145;0             
3;146;15            
3;147;69            
3;148;55            
3;149;20            
3;150;7             
3;151;2             
3;152;0             
3;153;4             
3;154;16            
3;155;54            
3;156;0             
3;157;0             
3;158;4             
3;159;0             
3;160;0             
3;161;115           
3;162;7             
3;163;0             
3;164;0             
3;165;4             
3;166;0             
3;167;96            
3;168;3             
3;169;83            
3;170;0             
3;171;0             
3;172;7             
3;173;7             
3;174;625           
3;175;-252          
3;176;70            
3;178;12            
3;179;11            
3;180;20            
3;181;47            
3;182;12            
3;183;10            
3;184;-2            
3;185;50            
3;186;558           
3;188;37            
3;189;5             
3;190;2             
3;191;2             
3;192;2             
3;193;39            
3;194;49            
3;195;5             
3;196;37            
3;197;24            
3;198;3             
3;199;154           
3;200;34            
3;201;60            
3;204;52            
3;206;0             
3;207;0             
3;209;0             
3;210;0             
3;211;38            
3;212;53            
3;213;56            
3;214;20            
3;216;12            
3;217;50            
3;218;70            
3;220;24            
3;221;0             
3;222;1             
3;223;0             
3;224;0             
3;225;0             
3;226;0             
3;227;0             
3;228;0             
3;229;0             
3;230;0             
3;231;-2            
3;232;0             
3;233;-1            
3;234;20            
3;235;0             
3;236;0             
3;237;0             
3;238;0             
3;239;0             
3;240;0             
3;241;0             
3;242;2             
3;243;-72           
3;244;5             
3;245;9             
3;246;0             
3;247;20            
3;248;0             
3;249;0             
3;250;0             
3;251;0             
3;252;29            
3;253;0             
3;254;0             
3;255;0             
3;256;0             
3;257;0             
3;258;18            
3;260;45            
3;261;5             
3;262;10            
3;263;0             
3;264;0             
3;265;0             
3;266;2             
3;267;-2            
3;268;0             
3;269;43            
3;270;0             
3;271;0             
3;272;0             
3;274;0             
3;275;116           
3;276;77            
3;279;0             
3;280;0             
3;281;0             
3;282;0             
3;283;19            
3;284;22            
3;285;0             
3;286;16            
3;287;3             
3;288;3             
3;289;0             
3;290;4             
3;291;0             
3;292;0             
3;293;0             
3;294;75            
3;296;-4            
3;297;34            
3;298;0             
3;299;-2            
3;300;0             
3;301;25            
3;302;0             
3;303;0             
3;305;0             
3;306;0             
3;307;4             
3;308;0             
3;309;0             
3;310;0             
3;312;0             
3;313;-15           
